"zip","score_ngas","score_elec","score_dty"
10001,0.3481762111,0.031748455,0.0280957334
10002,0.2341327071,0.0352887623,0.0416233093
10003,0.2554009259,0.0085857352,0.0926118642
10004,0.1749001294,0.1143243685,0.0041623311
10005,0.1249980479,1,0.0031217481
10006,0.0479821227,0.1666294783,0.0010405828
10007,0.6891078949,0.0488904119,0.0104058273
10009,0.1811584979,0.0232354403,0.0593132153
10010,0.1618361473,0.0443978868,0.0260145683
10011,0.3553297222,0.0153307132,0.0624349639
10012,0.435895592,0.0038021861,0.0197710712
10013,0.7217121124,0.0160988942,0.0416233093
10014,0.5005918145,0.0089267027,0.0541103035
10016,0.1236417741,0.0179943163,0.1040582731
10017,0.0465489775,0.0434148461,0.0093652448
10018,0.4603285491,,0.0052029137
10019,0.1784288734,0.0335185789,0.0426638909
10021,0.084214285,0.0191559438,0.0249739848
10022,0.1415225416,0.0557075813,0.0228928197
10023,0.2623814642,0.0385702215,0.048907388
10024,0.2809212506,0.0180364829,0.0634755492
10025,0.1584367007,0.0162750818,0.1498439163
10026,0.3229838014,0.0133067472,0.0437044762
10027,0.2009243965,0.0189612471,0.048907388
10028,0.1622222811,0.0173078105,0.0395421423
10029,0.1093419492,0.0402851887,0.0416233093
10030,0.3306872845,0.0126570091,0.0322580636
10031,0.1536926776,0.0014934147,0.0749219581
10032,0.1001434475,0.0021157083,0.0634755492
10033,0.0867171213,0.0052086152,0.0270551518
10034,0.0658230036,0.0048610275,0.0551508851
10035,0.1927819699,0.0280159116,0.0260145683
10036,0.2983637452,0.0372974686,0.0312174819
10037,0.1493075639,0.0342195891,0.0135275759
10038,0.1148082241,0.0489717126,0.0114464099
10039,0.0999971479,0.0399541557,0.0249739848
10040,0.0809796527,0.003636084,0.0385015607
10044,0.0384399891,0.133461833,0.0010405828
10069,0.125361979,0.3967271447,0.0020811656
10128,0.1726878732,0.0332603492,0.0624349639
10280,,0.0703360587,0.0114464099
10282,0.0830159262,0.1400309503,0.015608741
10301,,0.0076812096,0.283038497
10302,,"5.904187491978519e-05",0.210197717
